;title;artist;top genre;bpm;nrgy;dnce;dB;live;val;dur;acous;spch;pop;fecha
266;It's On Again - Main Soundtrack;Alicia Keys;hip pop;110;54;64;-9;25;53;230;10;11;30;13/03/2009
267;I Luh Ya Papi;Jennifer Lopez;dance pop;96;73;74;-6;12;59;207;45;42;28;23/02/2015
268;Not a Bad Thing;Justin Timberlake;dance pop;86;73;59;-6;38;46;266;27;6;0;17/06/2013
269;Thinking out Loud;Ed Sheeran;pop;79;45;78;-6;18;59;282;47;3;84;16/09/2010
270;I'm Not The Only One;Sam Smith;pop;82;49;68;-6;8;49;239;53;4;84;29/11/2015
271;The Hills;The Weeknd;canadian contemporary r&b;113;56;58;-7;14;14;242;7;5;84;08/03/2013
272;Love Yourself;Justin Bieber;canadian pop;100;38;61;-10;28;52;234;84;44;83;11/08/2016
273;Uptown Funk;Mark Ronson;dance pop;115;61;86;-7;3;93;270;1;8;82;05/03/2018
274;Take Me To Church;Hozier;irish singer-songwriter;129;66;57;-5;12;44;242;63;5;81;31/10/2017
275;Sugar;Maroon 5;pop;120;79;75;-7;9;88;235;6;3;81;05/07/2014
276;Sorry;Justin Bieber;canadian pop;100;76;65;-4;30;41;201;8;5;81;24/08/2011
277;FourFiveSeconds;Rihanna;barbadian pop;206;27;58;-6;13;35;188;88;5;80;09/11/2015
278;"Love Me Like You Do - From ""Fifty Shades Of Grey""";Ellie Goulding;dance pop;190;61;26;-7;13;28;253;25;5;79;07/01/2015
279;"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack";The Weeknd;canadian contemporary r&b;120;38;66;-6;10;44;252;39;3;79;22/09/2012
280;What Do You Mean?;Justin Bieber;canadian pop;125;57;85;-8;8;79;206;59;10;79;20/09/2016
281;Stitches;Shawn Mendes;canadian pop;150;75;75;-7;5;76;207;2;7;78;15/09/2013
282;Want to Want Me;Jason Derulo;dance pop;114;68;78;-6;11;66;208;1;6;77;11/02/2013
283;My House;Flo Rida;dance pop;94;70;69;-5;13;74;192;2;5;77;11/05/2014
284;Waves - Robin Schulz Radio Edit;Mr. Probz;tropical house;120;51;83;-9;8;45;208;1;4;77;08/03/2017
285;Night Changes;One Direction;boy band;120;52;67;-8;12;37;227;86;4;77;21/07/2009
286;How Deep Is Your Love;Calvin Harris;dance pop;122;87;74;-4;39;34;213;4;7;77;03/02/2018
287;Never Forget You;Zara Larsson;dance pop;146;73;58;-6;27;28;213;0;5;77;14/11/2014
288;Love Me Harder;Ariana Grande;dance pop;99;71;47;-4;8;24;236;1;3;76;14/04/2013
289;Animals;Maroon 5;pop;190;74;28;-6;59;33;231;0;9;76;14/08/2015
290;Blame;Calvin Harris;dance pop;128;86;41;-4;34;35;213;3;8;76;12/07/2014
291;Worth It;Fifth Harmony;dance pop;100;77;88;-4;12;59;225;6;9;75;04/06/2015
292;Break Free;Ariana Grande;dance pop;130;70;69;-5;20;28;215;1;5;75;03/11/2015
293;Don't;Ed Sheeran;pop;95;61;81;-7;64;85;220;1;7;74;10/01/2013
294;Elastic Heart;Sia;australian dance;130;79;42;-5;15;50;257;1;5;73;06/01/2015
295;Rather Be (feat. Jess Glynne);Clean Bandit;dance pop;121;59;80;-7;19;55;228;16;4;73;24/04/2018
296;Hello;Adele;british soul;158;45;48;-6;9;29;295;34;3;73;04/06/2013
297;Dear Future Husband;Meghan Trainor;dance pop;79;78;66;-5;32;83;184;38;19;72;15/11/2011
298;43776;Beyoncé;dance pop;136;71;75;-5;13;56;214;1;13;72;20/12/2009
299;The Heart Wants What It Wants;Selena Gomez;dance pop;83;79;62;-5;14;62;227;5;4;72;13/07/2015
300;Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack);David Guetta;dance pop;86;73;60;-4;33;53;193;24;15;72;12/03/2011
301;Genie In a Bottle;Christina Aguilera;dance pop;176;80;63;-7;14;91;218;21;16;72;19/11/2010
302;Company;Justin Bieber;canadian pop;95;80;59;-5;8;43;208;13;6;72;15/01/2009
303;Sing;Ed Sheeran;pop;120;67;82;-4;6;94;235;30;5;71;14/03/2015
304;Jealous - Remix;Nick Jonas;dance pop;93;71;68;-4;44;45;222;1;8;70;02/03/2012
305;Really Don't Care;Demi Lovato;dance pop;121;73;71;-4;19;85;202;12;9;70;15/10/2016
306;Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally);Macklemore & Ryan Lewis;dance pop;110;61;83;-4;29;71;293;9;7;70;16/07/2015
307;Only Love Can Hurt Like This;Paloma Faith;british soul;91;89;57;-5;33;31;233;10;8;69;13/08/2011
308;Heartbeat Song;Kelly Clarkson;dance pop;149;80;49;-4;6;48;199;1;5;69;02/02/2018
309;Up;Olly Murs;dance pop;115;85;69;-5;10;64;224;2;3;69;20/08/2012
310;Trumpets;Jason Derulo;dance pop;82;70;63;-5;10;64;217;56;24;69;03/02/2012
311;Runnin' (Lose It All);Naughty Boy;tropical house;139;85;32;-6;48;8;213;1;8;69;18/06/2014
312;Same Old Love;Selena Gomez;dance pop;98;59;67;-4;21;44;229;2;3;69;18/05/2017
313;I Want You To Know;Zedd;complextro;130;85;58;-3;14;37;240;1;6;68;25/03/2017
314;Lips Are Movin;Meghan Trainor;dance pop;139;83;78;-5;11;95;183;5;5;68;11/12/2011
315;I'll Show You;Justin Bieber;canadian pop;192;61;36;-7;18;8;200;5;10;68;01/06/2013
316;Here;Alessia Cara;canadian contemporary r&b;120;82;38;-4;8;33;199;8;10;68;03/12/2012
317;I Lived;OneRepublic;dance pop;120;85;59;-5;27;34;235;7;4;67;09/10/2012
318;Fireball (feat. John Ryan);Pitbull;dance pop;123;94;69;-5;5;79;235;9;6;67;07/07/2017
319;Easy Love;Sigala;dance pop;124;94;68;-4;12;65;230;18;6;67;23/07/2009
320;The Feeling;Justin Bieber;canadian pop;127;81;53;-6;10;21;245;8;6;67;16/11/2014
321;I Really Like You;Carly Rae Jepsen;canadian pop;122;81;62;-5;22;60;205;1;4;66;07/08/2014
322;BO$$;Fifth Harmony;dance pop;103;87;81;-5;5;74;171;1;11;66;15/02/2013
323;Sugar;Maroon 5;pop;120;79;75;-7;9;88;235;6;3;66;15/01/2017
324;Focus;Ariana Grande;dance pop;100;88;67;-6;44;79;211;27;24;66;19/04/2012
325;All About That Bass;Meghan Trainor;dance pop;134;88;81;-4;11;96;189;5;5;65;20/08/2010
326;On My Mind;Ellie Goulding;dance pop;155;71;70;-7;9;74;213;26;5;65;15/10/2014
327;Love Me Like You;Little Mix;dance pop;106;67;79;-4;28;85;198;21;4;65;28/06/2014
328;Broken Arrows;Avicii;big room;116;67;63;-7;10;29;233;5;5;65;30/06/2013
329;Booty;Jennifer Lopez;dance pop;129;95;71;-4;26;40;210;0;5;64;14/03/2013
330;What Do You Mean? - Acoustic;Justin Bieber;canadian pop;125;36;77;-11;10;76;204;79;4;64;17/05/2012
331;Mark My Words;Justin Bieber;canadian pop;114;26;38;-9;17;52;134;88;3;63;06/08/2014
332;Lay It All on Me;Rudimental;dance pop;123;75;67;-7;19;48;242;14;4;62;24/04/2009
333;American Oxygen;Rihanna;barbadian pop;78;75;39;-6;33;48;320;5;9;61;08/10/2017
334;Bang Bang;Jessie J;australian pop;150;75;71;-4;38;73;199;27;9;61;01/01/2014
335;Reality - Radio Edit;Lost Frequencies;belgian edm;122;70;71;-8;7;60;159;2;3;61;03/05/2009
336;Alive;Sia;australian dance;100;76;51;-4;11;44;264;25;5;61;27/06/2017
337;Sugar (feat. Francesco Yates);Robin Schulz;dance pop;123;82;64;-5;16;64;219;2;6;60;27/12/2016
338;Been You;Justin Bieber;canadian pop;113;78;74;-6;32;86;199;2;7;60;27/09/2015
339;Prayer in C - Robin Schulz Radio Edit;Lilly Wood and The Prick;french indie pop;123;89;76;-5;62;78;189;2;3;58;16/05/2018
340;See You Again (feat. Charlie Puth);Wiz Khalifa;hip hop;80;48;69;-8;6;28;230;37;8;56;01/02/2009
341;Heroes (we could be);Alesso;big room;126;75;52;-4;24;35;210;4;6;56;07/03/2010
342;"Feel The Light - From The ""Home"" Soundtrack";Jennifer Lopez;dance pop;156;60;47;-6;9;4;292;33;5;55;07/11/2009
343;Perfect;One Direction;boy band;100;82;65;-5;12;40;230;6;8;55;30/08/2014
344;Ghosttown;Madonna;dance pop;79;55;54;-7;12;9;250;4;4;54;01/05/2009
345;Bang My Head (feat. Sia & Fetty Wap);David Guetta;dance pop;108;87;60;-4;10;59;193;5;8;54;12/04/2010
346;Bloodstream;Ed Sheeran;pop;89;59;48;-6;6;27;309;20;5;52;24/03/2015
347;Living For Love;Madonna;dance pop;123;79;67;-5;25;39;219;4;9;52;15/08/2015
348;Baby Don't Lie;Gwen Stefani;dance pop;100;55;69;-5;10;26;203;1;3;52;25/08/2010
349;Don't Be so Hard on Yourself;Jess Glynne;dance pop;120;82;57;-3;16;66;211;6;3;52;15/12/2015
350;Steal My Girl;One Direction;boy band;77;76;47;-6;14;52;227;0;4;51;21/11/2017
351;"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")";Pitbull;dance pop;127;85;68;-3;6;93;193;1;6;50;30/07/2014
352;We Are Here;Alicia Keys;hip pop;93;67;64;-6;8;8;285;43;4;49;16/09/2016
353;St Jude;Florence + The Machine;art pop;117;43;26;-11;11;9;225;75;3;47;09/09/2015
354;Yesterday (feat. Bebe Rexha);David Guetta;dance pop;128;78;57;-4;33;28;243;2;3;46;01/07/2015
355;Time of Our Lives;Pitbull;dance pop;124;80;72;-6;69;72;229;9;6;45;31/07/2011
356;Sparks;Hilary Duff;dance pop;122;88;85;-5;10;79;186;4;6;44;08/03/2013
357;Mr. Put It Down;Ricky Martin;dance pop;128;78;80;-6;4;83;196;1;18;42;02/02/2014
358;Legendary Lovers;Katy Perry;dance pop;126;84;62;-5;8;39;224;2;8;41;16/05/2009
359;Spark The Fire;Gwen Stefani;dance pop;120;80;88;-4;20;54;202;8;6;39;07/01/2013
360;Run Run Run;Kelly Clarkson;dance pop;112;37;28;-7;11;8;273;45;4;36;21/10/2017
361;Let Me Be Your Lover;Enrique Iglesias;dance pop;112;90;72;-4;6;88;238;1;13;34;07/05/2014
362;Dangerous;Jennifer Hudson;dance pop;109;53;90;-5;8;65;255;0;5;18;19/09/2015
363;L.A.LOVE (la la);Fergie;dance pop;202;39;48;-8;26;27;193;2;9;0;17/01/2013
364;The Hills;The Weeknd;canadian contemporary r&b;113;56;58;-7;14;14;242;7;5;84;10/03/2017
365;Love Yourself;Justin Bieber;canadian pop;100;38;61;-10;28;52;234;84;44;83;20/12/2013
366;Cake By The Ocean;DNCE;dance pop;119;75;77;-5;4;90;219;15;5;81;26/02/2018
367;Don't Let Me Down;The Chainsmokers;electropop;160;87;53;-5;14;42;208;16;17;81;08/02/2012
368;In the Name of Love;Martin Garrix;big room;134;52;50;-6;45;17;196;11;4;81;23/10/2010
369;Into You;Ariana Grande;dance pop;108;73;62;-6;14;37;244;2;11;80;04/06/2015
370;This Is What You Came For;Calvin Harris;dance pop;124;93;63;-3;15;47;222;20;3;80;01/12/2011
371;Million Reasons;Lady Gaga;dance pop;130;42;67;-8;11;15;205;49;4;80;08/05/2010
372;Needed Me;Rihanna;barbadian pop;111;31;67;-8;8;30;192;11;24;80;17/07/2013
373;7 Years;Lukas Graham;danish pop;120;47;77;-6;39;34;237;29;5;80;05/05/2011
374;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;dance pop;113;83;67;-6;19;70;236;1;7;79;27/04/2009
375;Work from Home (feat. Ty Dolla $ign);Fifth Harmony;dance pop;105;59;80;-6;6;59;214;10;4;79;09/02/2016
376;Scars To Your Beautiful;Alessia Cara;canadian contemporary r&b;97;74;57;-6;11;45;230;3;13;79;30/07/2016
377;Like I'm Gonna Lose You (feat. John Legend);Meghan Trainor;dance pop;108;53;63;-7;18;42;225;40;4;79;19/09/2015
378;Work;Rihanna;barbadian pop;92;53;73;-6;9;56;219;8;9;78;07/07/2011
379;Stitches;Shawn Mendes;canadian pop;150;75;75;-7;5;76;207;2;7;78;30/06/2015
380;Me, Myself & I;G-Eazy;hip hop;112;67;76;-7;16;38;251;2;10;78;30/09/2009
381;I Took A Pill In Ibiza - Seeb Remix;Mike Posner;dance pop;102;71;66;-7;8;69;198;4;11;78;19/07/2015
382;Dangerous Woman;Ariana Grande;dance pop;134;60;66;-5;36;29;236;5;4;78;28/05/2016
383;Starving;Hailee Steinfeld;dance pop;100;62;73;-4;11;51;182;38;6;78;15/07/2017
384;Shout Out to My Ex;Little Mix;dance pop;126;75;77;-4;11;80;246;2;9;77;01/01/2018
385;Electric Love;BØRNS;electropop;120;80;61;-8;26;52;218;1;5;76;22/08/2016
386;Confident;Demi Lovato;dance pop;130;75;59;-6;9;34;206;0;7;75;23/05/2014
387;Too Good;Drake;canadian hip hop;118;65;79;-8;10;39;263;5;10;74;15/03/2013
388;Roses;The Chainsmokers;electropop;100;80;71;-7;31;34;227;4;6;74;22/03/2016
389;Cold Water (feat. Justin Bieber & MØ);Major Lazer;dance pop;93;80;61;-5;16;50;185;7;4;73;21/10/2017
390;Me Too;Meghan Trainor;dance pop;124;69;93;-6;48;84;181;10;10;73;14/07/2016
391;Light It Up (feat. Nyla & Fuse ODG) [Remix];Major Lazer;dance pop;108;88;75;-4;23;75;166;4;7;73;15/03/2010
392;Ain't Your Mama;Jennifer Lopez;dance pop;120;68;76;-6;7;82;218;5;23;72;24/09/2016
393;Close;Nick Jonas;dance pop;124;62;65;-5;14;40;234;25;8;72;19/01/2013
394;Toothbrush;DNCE;dance pop;105;79;55;-6;47;82;232;12;13;72;06/01/2017
395;All We Know;The Chainsmokers;electropop;90;59;66;-9;12;30;194;10;3;72;14/10/2014
396;Final Song;MØ;dance pop;105;67;70;-6;8;25;236;1;3;72;31/10/2010
397;Company;Justin Bieber;canadian pop;95;80;59;-5;8;43;208;13;6;72;07/08/2017
398;Hands To Myself;Selena Gomez;dance pop;111;50;81;-7;34;47;201;1;12;71;13/01/2014
399;All I Ask;Adele;british soul;142;28;59;-5;15;34;272;88;3;71;23/04/2010
400;"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")";P!nk;dance pop;163;70;63;-6;11;50;215;1;15;71;16/12/2016
401;NO;Meghan Trainor;dance pop;92;80;56;-4;74;65;214;1;22;70;22/12/2016
402;Kill Em With Kindness;Selena Gomez;dance pop;120;88;76;-5;10;40;218;1;4;70;08/02/2013
403;Cool Girl;Tove Lo;dance pop;102;69;67;-7;8;20;199;31;11;69;21/01/2016
404;Runnin' (Lose It All);Naughty Boy;tropical house;139;85;32;-6;48;8;213;1;8;69;10/07/2013
405;Here;Alessia Cara;canadian contemporary r&b;120;82;38;-4;8;33;199;8;10;68;02/04/2011
406;Perfect Illusion;Lady Gaga;dance pop;125;86;61;-5;36;66;182;0;4;67;13/05/2010
407;PILLOWTALK;ZAYN;dance pop;125;70;59;-4;9;43;204;10;5;66;15/08/2016
408;Out Of The Woods;Taylor Swift;pop;92;84;55;-7;34;34;236;0;4;66;31/01/2011
409;Rise;Katy Perry;dance pop;101;64;55;-6;11;44;203;5;5;66;27/01/2009
410;Wherever I Go;OneRepublic;dance pop;100;69;55;-6;27;35;170;9;4;66;07/06/2016
411;Body Say;Demi Lovato;dance pop;87;74;63;-5;28;26;194;0;4;65;06/05/2016
412;Don't Be A Fool;Shawn Mendes;canadian pop;175;34;47;-6;10;27;216;60;4;65;10/08/2010
413;LIKE I WOULD;ZAYN;dance pop;113;83;56;-6;26;23;192;2;11;65;06/05/2016
414;Cheap Thrills;Sia;australian dance;90;80;59;-5;8;73;225;6;22;64;02/11/2012
415;I Got You;Bebe Rexha;dance pop;98;89;61;-5;9;32;192;5;5;64;20/08/2015
416;Run Away With Me;Carly Rae Jepsen;canadian pop;119;72;56;-6;5;25;251;1;5;63;26/04/2018
417;Cruel (feat. ZAYN);Snakehips;dance pop;110;88;60;-4;16;32;228;2;12;63;03/04/2009
418;Send My Love (To Your New Lover);Adele;british soul;164;52;69;-8;17;56;223;4;10;61;24/11/2015
419;WTF (Where They From);Missy Elliott;dance pop;120;82;93;-3;6;56;193;2;20;58;01/08/2014
420;Desire;Years & Years;dance pop;126;78;71;-5;30;64;203;30;6;58;01/02/2018
421;When We Were Young;Adele;british soul;144;59;38;-6;9;27;291;35;5;58;17/06/2017
422;I Know What You Did Last Summer;Shawn Mendes;canadian pop;114;77;68;-5;16;72;224;11;10;57;09/04/2016
423;Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture;Florence + The Machine;art pop;94;57;37;-6;13;12;403;72;3;57;29/05/2014
424;Hurts;Emeli Sandé;dance pop;106;64;58;-8;15;18;238;2;3;57;28/12/2011
425;Change;Christina Aguilera;dance pop;82;54;62;-6;13;20;187;68;8;54;12/10/2017
426;Make Me... (feat. G-Eazy);Britney Spears;dance pop;123;70;70;-7;22;58;231;16;10;53;24/01/2014
427;Keeping Your Head Up;Birdy;neo mellow;122;78;60;-5;19;53;208;16;5;52;25/07/2016
428;True Colors;Zedd;complextro;126;79;57;-3;10;49;225;40;4;51;31/01/2013
429;Make Me Like You;Gwen Stefani;dance pop;118;71;74;-5;13;80;217;4;5;50;13/08/2017
430;Champagne Problems;Nick Jonas;dance pop;108;78;73;-5;9;64;193;0;13;50;03/04/2014
431;Blown;DNCE;dance pop;130;95;63;-5;10;73;197;0;4;48;26/11/2011
432;Start;John Legend;neo mellow;110;4;52;-15;9;26;310;99;4;47;15/02/2017
433;Pep Rally;Missy Elliott;dance pop;90;75;83;-4;20;32;263;22;12;47;26/03/2016
434;Higher;Carly Rae Jepsen;canadian pop;114;87;65;-5;37;44;234;1;6;46;03/05/2018
435;Invitation;Britney Spears;dance pop;112;65;37;-7;9;16;200;3;11;44;13/07/2014
436;One Call Away (feat. Tyga) - Remix;Charlie Puth;dance pop;91;69;75;-5;13;52;192;26;4;41;31/08/2013
437;Beautiful Birds (feat. Birdy);Passenger;folk-pop;86;17;39;-13;11;14;214;91;3;36;21/04/2018
438;Little Lies;Hilary Duff;dance pop;124;76;57;-6;4;40;204;0;6;36;06/07/2018
439;Do You Wanna Come Over?;Britney Spears;dance pop;121;70;75;-6;11;45;203;1;7;34;02/09/2011
440;BURNITUP!;Janet Jackson;dance pop;123;71;83;-7;31;83;250;5;18;31;26/07/2009
441;Picky - Remix;Joey Montana;latin;186;81;70;-3;37;69;225;9;7;29;05/04/2009
442;Behind Your Back;Nelly Furtado;canadian latin;98;47;80;-10;7;69;228;25;4;18;26/04/2017
443;Million Years Ago;Adele;british soul;0;0;0;-60;0;0;227;0;0;0;09/02/2015
444;Shape of You;Ed Sheeran;pop;96;65;83;-3;9;93;234;58;8;87;20/10/2017
445;Closer;The Chainsmokers;electropop;95;52;75;-6;11;66;245;41;3;86;26/07/2014
446;Starboy;The Weeknd;canadian contemporary r&b;186;59;68;-7;14;49;230;14;28;85;17/09/2010
447;Treat You Better;Shawn Mendes;canadian pop;83;82;44;-4;11;75;188;11;34;84;08/10/2015
448;That's What I Like;Bruno Mars;pop;134;56;85;-5;9;86;207;1;4;83;10/07/2016
449;Let Me Love You;DJ Snake;electronic trap;100;72;65;-5;14;16;206;9;3;82;02/05/2012
450;I Feel It Coming;The Weeknd;canadian contemporary r&b;93;82;77;-6;7;59;269;43;12;81;21/09/2011
451;Mercy;Shawn Mendes;canadian pop;148;66;56;-5;11;36;209;13;8;81;14/03/2009
452;Side To Side;Ariana Grande;dance pop;159;74;65;-6;24;61;226;5;23;80;06/01/2010
453;Stay;Zedd;complextro;102;62;69;-5;12;54;210;25;6;80;18/12/2016
454;It Ain't Me (with Selena Gomez);Kygo;edm;100;53;64;-7;9;52;221;12;7;79;02/12/2013
455;Malibu;Miley Cyrus;dance pop;140;78;57;-6;8;34;232;8;6;78;16/06/2009
456;Something Just Like This;The Chainsmokers;electropop;103;65;61;-7;17;51;248;3;4;78;13/10/2013
457;Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;dance pop;102;76;72;-4;18;74;251;41;5;78;23/04/2010
458;I Don’t Wanna Live Forever (Fifty Shades Darker);ZAYN;dance pop;118;45;74;-8;33;9;245;6;6;78;30/06/2017
459;My Way;Calvin Harris;dance pop;120;91;82;-3;16;54;219;9;4;78;19/11/2014
460;I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne);DJ Khaled;dance pop;81;67;61;-4;17;81;289;6;4;77;09/08/2015
461;Praying;Kesha;dance pop;73;39;58;-7;11;32;230;49;3;77;17/11/2014
462;Despacito - Remix;Luis Fonsi;latin;178;82;65;-4;10;82;229;23;17;76;21/07/2016
463;The Greatest;Sia;australian dance;192;73;67;-6;6;73;210;1;27;76;25/08/2011
464;There for You;Martin Garrix;big room;106;64;61;-8;12;13;222;12;6;76;14/04/2012
465;Paris;The Chainsmokers;electropop;100;64;65;-7;9;25;222;2;3;76;21/03/2012
466;Crying in the Club;Camila Cabello;dance pop;85;62;33;-6;16;60;216;33;38;75;20/06/2018
467;Mama;Jonas Blue;dance pop;104;79;74;-4;5;57;184;10;4;75;01/07/2012
468;Slide (feat. Frank Ocean & Migos);Calvin Harris;dance pop;104;80;74;-3;25;51;231;50;5;75;21/02/2016
469;Swish Swish;Katy Perry;dance pop;120;71;84;-5;10;57;243;2;4;73;22/08/2009
470;Chained To The Rhythm;Katy Perry;dance pop;190;80;45;-5;20;47;238;8;17;72;15/09/2009
471;Cold (feat. Future);Maroon 5;pop;100;72;69;-6;5;41;234;14;11;72;08/05/2018
472;Love;Lana Del Rey;art pop;99;37;53;-11;11;23;273;49;3;72;22/01/2014
473;Reggaetón Lento (Remix);CNCO;boy band;94;91;53;-3;10;62;189;15;9;71;09/03/2010
474;All I Ask;Adele;british soul;142;28;59;-5;15;34;272;88;3;71;21/11/2013
475;First Time;Kygo;edm;90;59;63;-7;10;68;194;20;11;71;11/10/2010
476;The Cure;Lady Gaga;dance pop;100;51;70;-5;9;52;211;8;3;71;28/11/2010
477;"How Far I'll Go - From ""Moana""";Alessia Cara;canadian contemporary r&b;181;54;31;-10;7;16;176;16;35;71;27/07/2013
478;Bodak Yellow;Cardi B;pop;125;72;93;-6;35;46;224;7;11;70;22/09/2009
479;Rich Love (with Seeb);OneRepublic;dance pop;105;87;40;-4;36;47;201;17;31;70;03/12/2009
480;Tired;Alan Walker;electro house;124;88;69;-4;15;49;192;4;6;70;15/06/2018
481;Came Here for Love;Sigala;dance pop;125;87;71;-3;12;72;203;3;4;70;01/10/2013
482;24K Magic;Bruno Mars;pop;107;80;82;-4;15;63;226;3;8;69;02/08/2014
483;Strip That Down (feat. Quavo);Liam Payne;dance pop;106;50;87;-5;8;55;202;20;5;69;08/08/2016
484;Cut To The Feeling;Carly Rae Jepsen;canadian pop;115;91;71;-3;30;65;208;1;6;69;07/02/2009
485;OK - Spotify Version;Robin Schulz;dance pop;122;81;65;-6;13;58;189;12;6;69;06/06/2016
486;Bon appétit;Katy Perry;dance pop;106;79;80;-6;22;52;228;13;6;68;27/02/2017
487;Summer Bummer (feat. A$AP Rocky & Playboi Carti);Lana Del Rey;art pop;135;57;76;-9;20;14;261;2;13;67;30/10/2014
488;Get Low (with Liam Payne);Zedd;complextro;108;93;72;-4;5;54;205;3;5;66;28/12/2013
489;Kissing Strangers;DNCE;dance pop;120;74;77;-6;9;86;202;5;4;66;16/07/2018
490;Slow Hands;Niall Horan;dance pop;86;42;74;-7;6;85;188;1;5;64;16/04/2017
491;Younger Now;Miley Cyrus;dance pop;122;87;55;-5;14;33;249;0;6;62;11/12/2013
492;Body Moves;DNCE;dance pop;102;69;65;-5;4;86;236;0;4;62;20/10/2010
493;Reality (feat. Janieck Devy) - Radio Edit;Lost Frequencies;belgian edm;122;64;73;-7;8;53;158;2;4;59;12/12/2012
494;Angel;Fifth Harmony;dance pop;124;53;74;-6;35;13;189;0;4;59;02/12/2017
495;Touch (feat. Kid Ink);Little Mix;dance pop;102;75;64;-4;49;53;203;4;11;59;26/09/2013
496;We Don't Talk Anymore - DROELOE Remix;Charlie Puth;dance pop;100;82;70;-5;45;67;218;49;22;59;15/06/2017
497;Love Incredible (feat. Camila Cabello);Cashmere Cat;downtempo;167;50;37;-9;20;21;180;6;12;59;17/11/2011
498;No Vacancy (with Sebastián Yatra);OneRepublic;dance pop;100;76;69;-4;14;59;223;8;4;57;22/03/2017
499;Rich Boy;Galantis;big room;110;90;74;-2;8;65;184;7;5;55;16/01/2012
500;Lust for Life (with The Weeknd);Lana Del Rey;art pop;100;67;51;-9;36;27;264;58;6;54;21/07/2011
501;Greenlight (feat. Flo Rida & LunchMoney Lewis);Pitbull;dance pop;115;83;70;-6;36;63;245;28;27;54;26/01/2009
502;Influence;Tove Lo;dance pop;105;59;77;-10;11;33;225;10;5;54;24/12/2016
503;Remember I Told You;Nick Jonas;dance pop;113;53;68;-6;4;84;202;14;28;53;22/01/2017
504;Messin' Around;Pitbull;dance pop;158;81;57;-5;4;78;223;2;5;51;01/09/2014
505;Water Under the Bridge;Adele;british soul;95;84;60;-7;11;47;240;2;7;49;17/09/2010
506;Free Me;Sia;australian dance;87;46;27;-4;14;21;286;85;3;44;24/12/2011
507;Kissing Strangers - Remix;DNCE;dance pop;120;77;76;-6;8;81;202;8;5;43;07/12/2015
508;A L I E N S;Coldplay;permanent wave;148;88;43;-5;21;25;282;0;4;41;05/03/2010
509;One Kiss (with Dua Lipa);Calvin Harris;dance pop;124;86;79;-3;8;59;215;4;11;86;16/03/2016
510;Havana (feat. Young Thug);Camila Cabello;dance pop;105;52;77;-4;13;39;217;18;3;85;17/07/2009
511;I Like It;Cardi B;pop;136;73;82;-4;37;65;253;10;13;85;09/07/2009
512;New Rules;Dua Lipa;dance pop;116;70;76;-6;15;61;209;0;7;84;27/10/2010
513;There's Nothing Holdin' Me Back;Shawn Mendes;canadian pop;122;81;87;-4;8;97;199;38;6;84;13/12/2011
514;no tears left to cry;Ariana Grande;dance pop;122;71;70;-6;29;35;206;4;6;84;25/03/2016
515;IDGAF;Dua Lipa;dance pop;97;54;84;-6;8;51;218;4;9;84;22/09/2010
516;In My Blood;Shawn Mendes;canadian pop;140;71;62;-7;13;49;211;6;7;83;24/10/2017
517;Wolves;Selena Gomez;dance pop;125;80;72;-5;20;31;198;12;4;83;05/09/2015
518;Dusk Till Dawn - Radio Edit;ZAYN;dance pop;180;44;26;-7;11;10;239;10;4;83;04/10/2009
519;Attention;Charlie Puth;dance pop;100;61;78;-5;13;80;209;11;5;83;28/10/2016
520;Electricity (with Dua Lipa);Silk City;edm;118;67;59;-6;34;51;238;1;5;82;22/02/2010
521;Love On The Brain;Rihanna;barbadian pop;172;64;51;-5;8;38;224;7;5;82;12/05/2009
522;Let Me Go (with Alesso, Florida Georgia Line & watt);Hailee Steinfeld;dance pop;103;71;66;-4;8;74;175;3;5;82;19/02/2009
523;Silence;Marshmello;brostep;142;76;52;-3;17;29;181;26;9;82;09/06/2018
524;Sorry Not Sorry;Demi Lovato;dance pop;144;64;71;-7;26;89;204;2;23;81;20/11/2015
525;Shallow - Radio Edit;Lady Gaga;dance pop;96;33;57;-7;9;28;217;42;3;80;02/08/2015
526;These Days;Rudimental;dance pop;92;81;65;-4;17;55;211;19;5;80;10/12/2011
527;What Lovers Do (feat. SZA);Maroon 5;pop;110;60;80;-5;10;42;200;8;6;79;26/04/2016
528;"Finesse - Remix; feat. Cardi B";Bruno Mars;pop;105;86;70;-5;2;93;217;2;10;78;20/05/2018
529;Perfect Duet (Ed Sheeran & Beyoncé);Ed Sheeran;pop;95;30;59;-7;12;36;260;78;3;78;04/01/2015
530;Bad At Love;Halsey;dance pop;118;75;68;-4;9;61;181;6;3;78;10/06/2015
